21	1800000000	2048	7	7010
9894	Vinton
2499	Gonzales
11299	Immokalee
6130	Hinesville
15330	Broadway
548	Osceola
2674	Kettering
52423	Mineola
6670	Addison
1556	Wawarsing
2743	Cibolo
1184	Bacliff
2661	Adelanto
560	Lehighton
17872	Alva
1136	Gaithersburg
3005	Price
24131	LaGrange
15196	Finderne
54244	Fallon
1644	Rosemont
731	Draper
576	Jamestown
547	Festus
577	Richfield
599	Gonzalez
395037	Firestone
1036	Blairstown
4471	Tooele
7207	Washougal
270565	Holualoa
4541	Greeneville
897	Torrance
3760	Dudley
565	Albuquerque
15062	Belmar
30804	Greenbrier
1397	Lynn
5330	Brownfields
485861	Logansport
6174	Wethersfield
610	Dumbarton
736	Irmo
1159	Lombard
4639	Beavercreek
9315	Clyde
11953	Idylwood
561	Tarrant
620	Florence
22420	Norristown
1007265	Kalispell
37302	Stuttgart
2891	Snyder
1138	Blandon
5271	Paducah
2076	Sandusky
21041	Barberton
1429	Scarsdale
424158	Lindsay
4917	Cloverdale
1220	Northgate
5096	Castroville
11012	Kosciusko
5406	Shively
400834	Wausau
968	Warrenton
567	Marietta
2278	Cornelius
799	Bettendorf
986	Boxford
753	Pittston
11788	Midway
4882	Gardere
550	Ashwaubenon
296548	Titusville
1725	Muncie
2809	Brainerd
11085	Opelousas
18140	Mendon
52852	Gantt
48192	Brighton
3122	Breckenridge
306220	Batesburg-Leesville
1174	Sutherlin
2030	Sausalito
667	Batesville
6242	Granby
4465	Philipsburg
635	Gilford
11602	Maysville
47919	Santee
10937	DeRidder
3276	Sealy
2116	Kirkwood
133035	Davis
571	Pembroke
559	Swissvale
1696	Canton
691	Holt
884	Clarinda
1313	Donaldsonville
1114615	Stafford
15533	College
1694	Scriba
687	Camden
110076	Blackfoot
560	Southgate
712	Montevallo
2503	Carlsbad
2248	Sayville
650	Astoria
628	Indianapolis
1994	Winchester
57473	Marana
4189	Lakeland
32186	Roseville
883	Lufkin
3583	Fairland
1718	Parole
236369	Wahneta
691	Marcy
605	Pelham
6293	Hazardville
583	Kenilworth
21932	Murphysboro
15202	Alice
5002	Deltona
43494	Paris
21444	Alexandria
1535	Lewiston
2032	Lewisburg
21629	Sycamore
937	Warrensburg
3878	Lincolnwood
4449	Addis
694	Wanaque
967	Lincolnia
3711	Bridgton
41406569	Euclid
1764	Hull
2151	Waianae
83718	Medford
7294	Oakland
713	Americus
48494	Riga
681	Lenox
53934	Magalia
2651	Strathmore
80515	Lakeway
32361	Payette
1961	Accokeek
58382	Yonkers
634	Dracut
5301	Benbrook
29060	Clovis
545	Jesup
620	Crowley
27459	Hollywood
707	Collegedale
855	Tacoma
5762	Roxboro
33305	Minot
5427	Williamsport
12842	Millsboro
119734	Rockwall
53334	Hornell
738	Waunakee
859942	Redmond
6679	Edmond
673	Mahtomedi
739	Leander
1562	Lionville
7081	Itasca
9766	Tampa
33205	Kenosha
1319	Gladstone
5481	Solvang
1086	Brandywine
616	Endwell
1974	Wyandanch
10364	Wyckoff
643	Scott
20451	Gary
1751257	Willmar
91567	Security-Widefield
581	Hamptonburgh
2180	Lawndale
1856	Halifax
1162	Holly
1520	Rayne
5044	Savannah
5089	Salamanca
548	Gainesville
2311	Granbury
637	Marilla
556	Coalinga
589	Larchmont
786	Nevada
250752	Wildomar
1661	Middlesborough
109250	Forestville
7800158	Deale
343307	Kennebunk
885	Brownsville
7930	Branford
746	Roseburg
14232	Milledgeville
765	Waxhaw
637	Henrietta
25358	Fallsburg
699	Garrison
86156	Bear
598	Bright
599	Southport
21971	Cortland
1789	Canby
36831	Lakeville
22581	Norcross
716	Martinez
33591	Nephi
1694	Colonie
4033	Enid
961	Reedsburg
580	Harriman
824	Provo
620	Bishop
571	Stanford
2615	Manistee
546	Morrilton
8130	Magnolia
6908	Hazleton
222366	Lee
278484	Pascoag
111500	Knightdale
6144	Orwigsburg
1946	Lynnfield
3103	Belen
26342	Wellesley
681	Joppatowne
8790	Colton
256196	Yorktown
3252	Marshalltown
1001	Soquel
8355	Pennsville
572	Rodeo
6484	Holtsville
349966	Coxsackie
12888	Boxborough
167731	Gray
3345	Kapaa
721	Cleveland
26594	Sheboygan
111799	Arden-Arcade
72418	Fuquay-Varina
4690	Liberal
2317	Steilacoom
35836	Ulster
543	Gleneagle
1572	Marianna
553	Mechanicville
18492	Ellicott
613	Wauconda
2902	Newark
13143	Chubbuck
1135	Smithville
7134	Mecca
4180	Travilah
1532	Murraysville
42003	Deptford
52995	Heathcote
55128	Whitehouse
30016	Jefferson
622	Harvard
47047	Chattanooga
1858	Brigantine
38714	Maltby
571	Croton-on-Hudson
1204	Maricopa
642	Elfers
1645	Pittsgrove
12280	Ankeny
1079	Yukon
1262	Bangor
15656	Wooster
110923	Soledad
23195	Pearland
227768	Triangle
607	Piedmont
3800	Dumont
544	Hightstown
38412	Woodmoor
21980	Menomonie
44828	Delano
5972	Visalia
5867	Suffern
608	Media
2355	Folkston
696	Lander
845	Coventry
2948	Snoqualmie
30730	Manorville
7014	Hopkinsville
2341	Chesapeake
11543	Elkton
677	Vicksburg
17734	Macomb
559	Beloit
38430	Seattle
2403	Mebane
4545	Franklin
4892	Moab
573	Montgomery
552	Baywood
412906	Pasadena
1100	Pecos
1125	Ridgewood
9627	Lamont
343819	Murrieta
