14	270000000	1024	3	10240
232089	Fuquay-Varina
25682	Margate
608	Ayden
68361	Lubbock
708	Chamblee
634	Sellersburg
611	Dacula
1415	Walkersville
37845	Nampa
4005	Wollochet
134454	Edgewood
621	Loomis
777	Munster
600	Ames
3512	Ridgecrest
25283	Ansonia
9073	McKenzie
51096	Pasco
2694	Artesia
1277	Wailea
9080	Cortlandville
5637	Lewistown
25988	Summit
1129	Withamsville
558	Murrysville
870	Austell
39095	Dartmouth
779	Kearns
572	Garrett
1559	Houghton
139614	Tiverton
1236	Randolph
3832	Sutton
4188	Beecher
15746	Willmar
322021	Myrtletown
989	Brandermill
3159	Canyon
7435	Lamesa
663	Plaistow
793	Sedalia
5668	Chowchilla
2553	Lower
612	Alsip
1509	Inglewood
25424	Latrobe
568	Coram
2323	Chadron
4554	Washougal
673	Kingsland
105050	Keyser
2124	Baltimore
6496	Chandler
708	Moreau
51113	Burlington
46105	Northdale
3678399	Matawan
76027	Wantagh
544	Clayton
4405	Shawano
1034	Chehalis
893	Westerville
703	Poquoson
10357	Willoughby
23681	Ponchatoula
717	Tiffin
2768	Folsom
1845361	Lewisville
26973	Canutillo
2854	Linton
594	Atherton
817	Rifle
889	Sonora
3507	Williamson
7523	Montville
854605	Irvington
19563	Ogden
782	Carver
5599	Irondequoit
48507	DeRidder
544	Beardstown
3257	Blair
1877	Ramsey
226796	Essex
8705	Brandywine
618	Bulverde
294557	Wilna
15562	Syosset
3843	Snyderville
623	Silvis
34014	Tumwater
49623	Middleton
5913	Millersville
205684	Rhinelander
595	Creswell
2135	Suitland
8834	Mocksville
1487	Innsbrook
4634	Bloomfield
560	Clearlake
1529	Billings
1375	Eloy
626	Halawa
20905	Merrimac
54655	Bargersville
58916	Niagara
812	Groves
376807	Marlborough
885	Fairland
129902	Bridgetown
51438	Tiburon
3079	Coldwater
72665	Cleveland
697	Kokomo
810	Addis
2597	Draper
46371	Solvay
890	Healdsburg
51596	Lapeer
140810	Beaufort
1059	Killingworth
44738	Makaha
2936	Humboldt
571	Clarkson
545	Ridgewood
6285	Newman
318229	Avenel
579	Gary
3382	Muskego
93575	Collegedale
1566	Naranja
20095	Sebastian
8837	Stratmoor
562	Norman
13027	Hardyston
577	Carnot-Moon
522300	Schenectady
2689435	Liberty
14831	Marshfield
2248	Stuttgart
